Country,Religions,Ethnic Groups
Marshall Islands,"Christianity, No religion, Other","Marshallese, Other"
Mauritania,Islam,"Beidane, Haratin, Sub-Saharan African"
Mauritius,"Christianity, Hinduism, Islam, No religion","Chinese, Creole, French, Indian"
Mexico,"Christianity, No religion, Other",No data
Micronesia,"Christianity, Folk/Traditional, No religion","Asian, Chuukese, Kosraean, Other, Outer Yapese, Pohnpeian, Polynesian, Yapese"
Moldova,"Christianity, No religion, Other","Bulgarians, Gagauz, Moldovans, Other, Romanians, Russians, Ukrainians"
Monaco,"Christianity, Islam, Judaism, No religion","Belgian, British, French, German, Italian, Monégasque, Other, Swiss"
Mongolia,"Buddhism, Christianity, Folk/Traditional, Islam, No religion, Other","Kazakhs, Mongols, Other"
Montenegro,"Christianity, Islam, No religion","Albanians, Bosniaks or Muslims, Montenegrins, Russians, Serbs"
Morocco,"Islam, Judaism, Other","Arab, Arabised Berbers, Berbers, Mauritanian Moors"
Mozambique,"Christianity, Islam","African, Mestiço, Other, White"
Myanmar,"Buddhism, Christianity, Folk/Traditional, Islam, Other","Bamar, Chin, Kachin, Karen, Karenni, Mon, Rakhine, Shan"
Namibia,"Christianity, No religion, Other","Coloured and Basters, Indigenous African, Other, White"
Nauru,No data,No data
Nepal,"Buddhism, Christianity, Hinduism, Other","Bahun, Chamar, Chhetri, Dalit, Damai, Gurung, Janajati, Kami, Khas Arya, Kushwaha, Limbu, Madheshi, Magar, Musalman, Newar, Other, Rai, Sarki, Tamang, Teli, Thakuri, Tharu, Yadav"
Netherlands,"Christianity, Islam, No religion, Other","Dutch, Indonesian, Moroccan, Other European, Turkish"
New Zealand,"Christianity, Hinduism, No religion, Other","Asian, European, ME / LA / African, Māori, Other, Pacific peoples"
Nicaragua,"Christianity, No religion, Other","Black, Indigenous, Mestizo, White"
Niger,"Christianity, Islam, No religion","Arab, Fulani, Gurma, Hausa, Kanuri, Other, Toubou, Tuareg, Zarma and Songhay"
Nigeria,"Christianity, Islam, Other","Fulani, Hausa, Ibibio, Igbo, Ijaw, Kanuri, Other, Tiv, Yoruba"
North Korea,"Buddhism, Folk/Traditional, No religion, Other",No data
